state,agency,support_types
FL,"Franklin County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Fruitland Park Police Department","Task Force Model"
FL,"Gadsden County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Gilchrist County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Glades County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Green Cove Springs Police Department","Task Force Model"
FL,"Gretna Police Department","Task Force Model"
FL,"Gulf Breeze Police Department","Task Force Model"
FL,"Gulf County Board of County Commissioners /Detention Facility","Warrant Service Officer"
FL,"Gulf County Sheriff's Office","Task Force Model"
FL,"Gulf Stream Police Department","Task Force Model"
FL,"Gulfport Police Department","Task Force Model"
FL,"Haines City Police Department","Task Force Model"
FL,"Hamilton County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Hardee County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Havana Police Department","Task Force Model"
FL,"Hendry County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Hernando County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
FL,"Hialeah Police Department","Task Force Model"
FL,"High Springs Police Department","Task Force Model"
FL,"Highland Beach Police Department","Task Force Model"
FL,"Highlands County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Hillsborough County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Holly Hill Police Department","Task Force Model"
FL,"Hollywood Police Department","Task Force Model"
FL,"Holmes Beach Police Department","Task Force Model"
FL,"Holmes County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Howey in the Hills Police Department","Task Force Model"
FL,"Indialantic Police Department","Task Force Model"
FL,"Indian Creek Village Department of Public Safety","Task Force Model"
FL,"Indian Harbour Beach Police Department","Task Force Model"
FL,"Indian River County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Indian River Shores Department of Public Safety","Task Force Model"
FL,"Indian Shores Police Department","Task Force Model"
FL,"Jackson County Correctional Facility","Warrant Service Officer"
FL,"Jackson County Sheriff's Office","Task Force Model"
FL,"Jacksonville Sheriff's Office","Jail Enforcement Model; Task Force Model"
FL,"Jasper Police Department","Task Force Model"
FL,"Jefferson County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Juno Beach Police Department","Task Force Model"
FL,"Jupiter Inlet Colony Police Department","Task Force Model"
FL,"Jupiter Island Department of Public Safety","Task Force Model"
FL,"Jupiter Police Department","Task Force Model"
FL,"Kenneth City Police Department","Task Force Model"
FL,"Key Colony Beach Police Department","Task Force Model"
FL,"Key West Police Department","Task Force Model"
FL,"Kissimmee Police Department","Task Force Model"
FL,"Lady Lake Police Department","Task Force Model"
FL,"Lafayette County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Lake Alfred Police Department","Task Force Model"
FL,"Lake City Police Department","Task Force Model"
FL,"Lake Clarke Shores Police Department","Task Force Model"
FL,"Lake County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Lake Hamilton Police Department","Task Force Model"
FL,"Lake Helen Police Department","Task Force Model"
FL,"Lake Mary Police Department","Task Force Model"
FL,"Lake Placid Police Department","Task Force Model"
FL,"Lake Wales Police Department","Task Force Model"
FL,"Lakeland Police Department","Task Force Model"
FL,"Lantana Police Department","Task Force Model"
FL,"Largo Police Department","Task Force Model"
FL,"Lee County Port Authority Police","Task Force Model"
FL,"Lee County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
FL,"Leon County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Levy County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Liberty County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Lighthouse Point Police Department","Task Force Model"
FL,"Live Oak Police Department","Task Force Model"
FL,"Longboat Key Police Department","Task Force Model"
FL,"Longwood Police Department","Task Force Model"
FL,"Lynn Haven Police Department","Task Force Model"
FL,"Madison County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Madison Police Department","Task Force Model"
FL,"Manatee County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Marco Island Police Department","Task Force Model"
FL,"Marianna Police Department","Task Force Model"
FL,"Marion County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Martin County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Melbourne Beach Police Department","Task Force Model"
FL,"Melbourne International Airport Police Department","Task Force Model"
FL,"Melbourne Police Department","Task Force Model"
FL,"Miami Springs Police Department","Task Force Model"
FL,"Miami-Dade Corrections and Rehabilitation","Warrant Service Officer"
FL,"Miami-Dade Sheriff's Office","Task Force Model"
FL,"Midway Police Department","Task Force Model"
FL,"Milton Police Department","Task Force Model"
FL,"Monroe County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Naples Police Department","Task Force Model"
FL,"Nassau County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Neptune Beach Police Department","Task Force Model"
FL,"New College of Florida Police Department","Task Force Model"
FL,"New Port Richey Police Department","Task Force Model"
FL,"New Smyrna Beach Police Department","Task Force Model"
FL,"Niceville Police Department","Task Force Model"
FL,"North Bay Village Police Department","Task Force Model"
FL,"North Palm Beach Police Department","Task Force Model"
FL,"North Port Police Department","Task Force Model"
FL,"Northwest Florida State College Police Department","Task Force Model"
FL,"Oakland Police Department","Task Force Model"
FL,"Ocala Police Department","Task Force Model"
FL,"Ocean Ridge Police Department","Task Force Model"
FL,"Ocoee Police Department","Task Force Model"
FL,"Office of Agricultural Law Enforcement","Task Force Model"
FL,"Office of the State Attorney Sixth Judicial Circuit","Task Force Model"
FL,"Okaloosa County Board of County Commissioners/ Department of Corrections","Warrant Service Officer"
FL,"Okaloosa County Sheriff's Office","Task Force Model"
FL,"Okeechobee County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
FL,"Okeechobee Police Department","Task Force Model"
FL,"Orange City Police Department","Task Force Model"
FL,"Orange County Corrections Department","Warrant Service Officer"
FL,"Orange County Sheriff's Office","Task Force Model"
FL,"Orange Park Police Department","Task Force Model"
FL,"Orlando Police Department","Task Force Model"
FL,"Ormond Beach Police Department","Task Force Model"
FL,"Osceola County Corrections Department","Warrant Service Officer"
FL,"Osceola County Sheriff's Office","Task Force Model"
FL,"Oviedo Police Department","Task Force Model"
FL,"Palm Bay Police Department","Task Force Model"
FL,"Palm Beach County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Palm Beach Gardens Police Department","Task Force Model"
FL,"Palm Beach Police Department","Task Force Model"
FL,"Palm Springs Police Department","Task Force Model"
FL,"Palmetto Police Department","Task Force Model"
FL,"Panama City Beach Police Department","Task Force Model"
FL,"Panama City Police Department","Task Force Model"
FL,"Pasco County Board of County Commissioners/ Pasco County Corrections","Warrant Service Officer"
FL,"Pasco County Sheriff's Office","Task Force Model"
FL,"Pembroke Park Police Department","Task Force Model"
FL,"Pembroke Pines Police Department","Task Force Model"
FL,"Pensacola Police Department","Task Force Model"
FL,"Perry Police Department","Task Force Model"
FL,"Pinellas County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Pinellas Park Police Department","Task Force Model"
FL,"Plant City Police Department","Task Force Model"
FL,"Polk County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Ponce Inlet Police Department","Task Force Model"
FL,"Port Orange Police Department","Task Force Model"
FL,"Port Richey Police Department","Task Force Model"
FL,"Port Saint Lucie Police Department","Task Force Model"
FL,"Punta Gorda Police Department","Task Force Model"
FL,"Putnam County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Quincy Police Department","Task Force Model"
FL,"Riviera Beach Police Department","Task Force Model"
FL,"Rockledge Police Department","Task Force Model"
FL,"Sanford Airport Police Department","Task Force Model"
FL,"Sanford Police Department","Task Force Model"
FL,"Sanibel Police Department","Task Force Model"
FL,"Santa Fe College Police Department","Task Force Model"
FL,"Santa Rosa County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Sarasota County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Sarasota Manatee Airport Authority Police Department","Task Force Model"
FL,"Sarasota Police Department","Task Force Model"
FL,"Satellite Beach Police Department","Task Force Model"
FL,"Sebastian Police Department","Task Force Model"
FL,"Sebring Police Department","Task Force Model"
FL,"Seminole County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Sewall's Point Police Department","Task Force Model"
FL,"Shalimar Police Department","Task Force Model"
FL,"South Daytona Police Department","Task Force Model"
FL,"Springfield Police Department","Task Force Model"
FL,"St. Augustine Beach Police Department","Task Force Model"
FL,"St. Augustine Police Department","Task Force Model"
FL,"St. Cloud Police Department","Task Force Model"
FL,"St. Johns County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
FL,"St. Lucie County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"St. Petersburg Police Department","Task Force Model"
FL,"Stuart Police Department","Task Force Model"
FL,"Sumter County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Sunny Isles Police Department","Task Force Model"
FL,"Suwannee County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Sweetwater Police Department","Task Force Model"
FL,"Tallahassee Police Department","Task Force Model"
FL,"Tallahassee State College Police Department","Task Force Model"
FL,"Tampa Police Department","Task Force Model"
FL,"Tarpon Springs Police Department","Task Force Model"
FL,"Tavares Police Department","Task Force Model"
FL,"Taylor County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
FL,"Tequesta Police Department","Task Force Model"
FL,"Titusville Police Department","Task Force Model"
FL,"Treasure Island Police Department","Task Force Model"
FL,"Union County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"University of Central Florida Police Department","Task Force Model"
FL,"University of Florida Police Department","Task Force Model"
FL,"University of North Florida Police Department","Task Force Model"
FL,"University of South Florida Police Department","Task Force Model"
FL,"University of West Florida Police Department","Task Force Model"
FL,"Venice Police Department","Task Force Model"
