ID, Name, Org Name, Total Networks Searched, Time Frame, Reason, Case #, Search Time, Search Type,Search Date,Search Time, , 
3b78590f-e412-477f-a0f5-2c4eb8d53648,Jeff Levesque,South Portland ME PD,5819.0,"02/22/2026, 07:00:44 PM UTC
03/24/2026, 07:00:44 PM UTC",Drugs/Narcotics - MDEA via MIAC,,"03/24/2026, 06:48:47 PM UTC",lookup,2026-03-24 00:00:00,06:48:47,PM,UTC
f15b45a7-ec05-4b3b-8db0-834bd05be35b,Jeff Levesque,South Portland ME PD,8.0,"02/22/2026, 07:00:00 PM UTC
03/24/2026, 07:00:00 PM UTC",Drugs/Narcotics - MDEA via MIAC,,"03/24/2026, 06:49:01 PM UTC",lookup,2026-03-24 00:00:00,06:49:01,PM,UTC
45546cf1-863f-45dc-8a0e-a06538f46259,Jeff Levesque,South Portland ME PD,5816.0,"02/22/2026, 02:30:26 PM UTC
03/24/2026, 02:30:26 PM UTC",Missing/Endangered Person/Runaway - Maine Warden Service,,"03/24/2026, 02:10:28 PM UTC",lookup,2026-03-24 00:00:00,02:10:28,PM,UTC
7530672e-7d3d-4448-8b54-97657bb5fbe8,Jeff Levesque,South Portland ME PD,5816.0,"02/22/2026, 02:00:06 PM UTC
03/24/2026, 02:00:06 PM UTC",Weapons Offense (Guns/Shots Fired) - Lewiston,,"03/24/2026, 01:53:08 PM UTC",lookup,2026-03-24 00:00:00,01:53:08,PM,UTC
0cb19201-4bad-4fa7-b4f1-5edb6f85d31d,Frank Stepnick,South Portland ME PD,2.0,"03/03/2026, 04:30:00 PM UTC
03/04/2026, 11:00:00 PM UTC",Destruction/Damage/Vandalism of Property - Investigation,PD # 26-004942,"03/23/2026, 03:08:03 PM UTC",lookup,2026-03-23 00:00:00,03:08:03,PM,UTC
a8d5c2df-8537-4b76-8f88-7d344aec1019,Frank Stepnick,South Portland ME PD,2.0,"03/03/2026, 06:00:00 AM UTC
03/05/2026, 03:00:00 AM UTC",Destruction/Damage/Vandalism of Property - Investigation,PD # 26-004942,"03/23/2026, 03:08:36 PM UTC",lookup,2026-03-23 00:00:00,03:08:36,PM,UTC
b3edf2c6-5258-459b-bace-765097429d76,Frank Stepnick,South Portland ME PD,2.0,"03/21/2026, 03:30:18 PM UTC
03/23/2026, 03:30:18 PM UTC",Destruction/Damage/Vandalism of Property - Investigation,PD # 26-004942,"03/23/2026, 03:11:24 PM UTC",lookup,2026-03-23 00:00:00,03:11:24,PM,UTC
6a80e1d0-bc7e-4be8-af4d-489a5105c579,Jeff Levesque,South Portland ME PD,5813.0,"02/21/2026, 04:00:33 PM UTC
03/23/2026, 04:00:33 PM UTC",Drugs/Narcotics - MDEA via MIAC,,"03/23/2026, 03:36:45 PM UTC",lookup,2026-03-23 00:00:00,03:36:45,PM,UTC
1f6a3219-93da-442a-9d44-26b3b61f58bb,Jeff Levesque,South Portland ME PD,5813.0,"02/21/2026, 04:00:33 PM UTC
03/23/2026, 04:00:33 PM UTC",Drugs/Narcotics - MDEA via MIAC,,"03/23/2026, 03:36:59 PM UTC",lookup,2026-03-23 00:00:00,03:36:59,PM,UTC
a02be35b-52b9-46a7-bed4-413a39416bc1,Ben Macisso,South Portland ME PD,2.0,"03/13/2026, 10:12:09 PM UTC
03/20/2026, 10:12:09 PM UTC",Terrorism/Terroristic Threats - Bolo from NH specific threats to synagogues,,"03/20/2026, 10:12:10 PM UTC",lookup - Mobile,2026-03-20 00:00:00,10:12:10,PM,UTC
4537ecc4-d74f-4eef-b5fe-6da72a121901,Ben Macisso,South Portland ME PD,8.0,"03/13/2026, 10:12:52 PM UTC
03/20/2026, 10:12:52 PM UTC",Terrorism/Terroristic Threats - Bolo from NH specific threats to synagogues,,"03/20/2026, 10:12:53 PM UTC",lookup - Mobile,2026-03-20 00:00:00,10:12:53,PM,UTC
dbfb6a27-2ad1-471b-94ff-1d0522a08976,Michael Armstrong,South Portland ME PD,5756.0,"03/17/2026, 11:00:58 PM UTC
03/18/2026, 11:00:58 PM UTC",Larceny/Theft Offenses - Suspect in theft,26005645.0,"03/18/2026, 10:57:01 PM UTC",lookup,2026-03-18 00:00:00,10:57:01,PM,UTC
24112f12-52af-4d22-b33e-860281bacdc8,Jeff Levesque,South Portland ME PD,5786.0,"03/11/2026, 11:15:51 PM UTC
03/18/2026, 11:15:51 PM UTC",Larceny/Theft Offenses - Sopo,,"03/18/2026, 11:15:52 PM UTC",lookup - Mobile,2026-03-18 00:00:00,11:15:52,PM,UTC
