original_org_name,normalized_org_name,state,networks_im_sharing
Indiana State Police IN PD,indiana state police in,in,South Portland ME PD
Agawam MA PD,agawam ma,ma,South Portland ME PD
Tooele City PD UT,tooele city,ut,South Portland ME PD
Boynton Beach FL PD,boynton beach fl,fl,South Portland ME PD
Casa Grande AZ PD,casa grande az,az,South Portland ME PD
Warner Robins GA PD,warner robins ga,ga,South Portland ME PD
York ME PD,york me,me,"South Portland ME PD,South Portland ME PD (Flex)"
Montville CT PD,montville ct,ct,South Portland ME PD
Gratiot County MI SO,gratiot county mi,mi,South Portland ME PD
Wakefield MA PD,wakefield ma,ma,South Portland ME PD
Stillwater MN PD,stillwater mn,mn,South Portland ME PD
Wilmette IL PD,wilmette il,il,South Portland ME PD
Plainville MA PD,plainville ma,ma,South Portland ME PD
Woodson Terrace MO PD,woodson terrace mo,mo,South Portland ME PD
Texas Financial Crimes Intelligence Center,texas financial crimes intelligence,tx,South Portland ME PD
Scotch Plains NJ PD,scotch plains nj,nj,South Portland ME PD
Crisp County GA SO,crisp county ga,ga,South Portland ME PD
Wheeler County NE SO,wheeler county ne,ne,South Portland ME PD
Las Vegas NM PD,las vegas nm,nm,South Portland ME PD
Bartow County GA SO,bartow county ga,ga,South Portland ME PD
Washoe County NV SO,washoe county nv,nv,South Portland ME PD
Hope Mills NC PD,hope mills nc,nc,South Portland ME PD
Jackson County GA SO,jackson county ga,ga,South Portland ME PD
Pennsylvania State PD,pennsylvania state,pa,South Portland ME PD
Kansas City MO PD,kansas city mo,ks,South Portland ME PD
Shreveport LA PD,shreveport la,la,South Portland ME PD
Massachusetts Department of Correction,massachusetts department of correction,ma,South Portland ME PD
Blakely PA PD,blakely pa,pa,South Portland ME PD
Town of Groton CT PD,town of groton ct,ct,South Portland ME PD
North Attleboro MA PD,north attleboro ma,ma,South Portland ME PD
Perth Amboy NJ PD,perth amboy nj,nj,South Portland ME PD
Northampton County PA DA,northampton county pa,pa,South Portland ME PD
Westwood MA PD,westwood ma,ma,South Portland ME PD
Marple Twp PA PD,marple twp pa,pa,South Portland ME PD
Peabody MA PD,peabody ma,ma,South Portland ME PD
Durango CO PD,durango co,co,South Portland ME PD
Cullman County AL SO,cullman county al,al,South Portland ME PD
Griffith IN PD,griffith in,in,South Portland ME PD
Rockmart GA PD,rockmart ga,ga,South Portland ME PD
Seal Beach CA PD,seal beach ca,ca,South Portland ME PD
St Mary Parish LA SO,st mary parish la,la,South Portland ME PD
Neshkoro WI PD,neshkoro wi,wi,South Portland ME PD
Bixby OK PD,bixby ok,ok,South Portland ME PD
White House TN PD,white house tn,tn,South Portland ME PD
Carson County TX SO,carson county tx,tx,South Portland ME PD
Cabot AR PD,cabot ar,ar,South Portland ME PD
Fort Collins Police Services (FCPS),fort collins police services fcps,,South Portland ME PD
El Cajon CA PD,el cajon ca,ca,South Portland ME PD
Marion Health PD (IN),marion health pd in,in,South Portland ME PD
Vernon County WI SO,vernon county wi,wi,South Portland ME PD
Raleigh NC PD,raleigh nc,nc,South Portland ME PD
Texas Department of Criminal Justice,texas department of criminal justice,tx,South Portland ME PD
Maryland Heights MO PD,maryland heights mo,md,South Portland ME PD
Washington County WI SO,washington county wi,wa,South Portland ME PD
Germantown TN PD,germantown tn,tn,South Portland ME PD
Republic MO PD,republic mo,mo,South Portland ME PD
Kennesaw State University GA PD,kennesaw state university ga,ga,South Portland ME PD
Maiden NC PD,maiden nc,nc,South Portland ME PD
Henry County IL SO,henry county il,il,South Portland ME PD
Kaysville UT PD,kaysville ut,ut,South Portland ME PD
Summerset SD PD,summerset sd,sd,South Portland ME PD
City of Sierra Vista AZ,city of sierra vista,az,South Portland ME PD
Seminole County FL SO,seminole county fl,fl,South Portland ME PD
Glencoe IL PD,glencoe il,il,South Portland ME PD
Chanute KS PD,chanute ks,ks,South Portland ME PD
Sheridan AR PD,sheridan ar,ar,South Portland ME PD
New Hanover County NC SO,new hanover county nc,nc,South Portland ME PD
Lea County NM SO,lea county nm,nm,South Portland ME PD
Middle Tennessee State TN PD,middle tennessee state tn,tn,South Portland ME PD
Calhoun County SC SO,calhoun county sc,sc,South Portland ME PD
Bay St. Louis MS PD,bay st louis ms,ms,South Portland ME PD
Adams County IL SO,adams county il,il,South Portland ME PD
Prescott AZ PD,prescott az,az,South Portland ME PD
Pinellas Park FL PD,pinellas park fl,fl,South Portland ME PD
Covington GA PD,covington ga,ga,South Portland ME PD
Norwood MA PD,norwood ma,ma,South Portland ME PD
Rock County WI SO,rock county wi,wi,South Portland ME PD
Grandview MO PD,grandview mo,mo,South Portland ME PD
Morris IL PD,morris il,il,South Portland ME PD
Wichita KS PD,wichita ks,ks,South Portland ME PD
Byron GA PD,byron ga,ga,South Portland ME PD
Cherokee County GA DA,cherokee county ga,ga,South Portland ME PD
Lexington KY PD,lexington ky,ky,South Portland ME PD
Springfield MO PD,springfield mo,mo,South Portland ME PD
Coffeyville KS PD,coffeyville ks,ks,South Portland ME PD
Slinger WI PD,slinger wi,wi,South Portland ME PD
Sauk Prairie WI PD,sauk prairie wi,wi,South Portland ME PD
Eau Claire County WI SO,eau claire county wi,wi,South Portland ME PD
Cape Girardeau MO PD,cape girardeau mo,mo,South Portland ME PD
Pembroke NC PD,pembroke nc,nc,South Portland ME PD
Rogers AR PD,rogers ar,ar,South Portland ME PD
Orange Beach AL PD,orange beach al,al,South Portland ME PD
Whiteville NC PD,whiteville nc,nc,South Portland ME PD
Person County NC SO,person county nc,nc,South Portland ME PD
South Carolina Law Enforcement Division - SLED,south carolina law enforcement division sled,sc,South Portland ME PD
Mahanoy City PD (PA),mahanoy city pd pa,pa,South Portland ME PD
Warren NJ PD,warren nj,nj,South Portland ME PD
Dearborn MI PD,dearborn mi,mi,South Portland ME PD
Cedar County IA SO,cedar county ia,ia,South Portland ME PD
Missouri Information Analysis Center,missouri information analysis,mo,South Portland ME PD
Aurora IL PD,aurora il,il,South Portland ME PD
Wabaunsee County SO (KS),wabaunsee county so ks,ks,South Portland ME PD
Oxford PD - OH,oxford pd,oh,South Portland ME PD
Menomonee Falls WI PD,menomonee falls wi,wi,South Portland ME PD
Missouri Department of Conservation,missouri department of conservation,mo,South Portland ME PD
Springfield MA PD,springfield ma,ma,South Portland ME PD
Harrisonville MO PD,harrisonville mo,mo,South Portland ME PD
Sherwood AR PD,sherwood ar,ar,South Portland ME PD
Vestavia Hills AL PD,vestavia hills al,al,South Portland ME PD
Raytown MO PD,raytown mo,mo,South Portland ME PD
Pawnee County KS SO,pawnee county ks,ks,South Portland ME PD
Ankeny IA PD,ankeny ia,ia,South Portland ME PD
Fairmount IN PD,fairmount in,in,South Portland ME PD
AR - Alma PD,ar alma,ar,South Portland ME PD
Sheboygan WI PD,sheboygan wi,wi,South Portland ME PD
Clayton DE PD,clayton de,de,South Portland ME PD
Blount County Commission (AL),blount county commission al,al,South Portland ME PD
Hartsville SC PD,hartsville sc,sc,South Portland ME PD
Springfield FL PD,springfield fl,fl,South Portland ME PD
Albion MI DPS,albion mi dps,mi,South Portland ME PD
Shelby County AL SO,shelby county al,al,South Portland ME PD
Goose Creek SC PD,goose creek sc,sc,South Portland ME PD
Clovis NM PD,clovis nm,nm,South Portland ME PD
Henderson KY PD,henderson ky,ky,South Portland ME PD
McDonough County IL SO,mcdonough county il,il,South Portland ME PD
Friendswood TX PD,friendswood tx,tx,South Portland ME PD
Brownsburg IN PD,brownsburg in,in,South Portland ME PD
New Haven IN PD,new haven in,in,South Portland ME PD
Burlington NC PD,burlington nc,nc,South Portland ME PD
Ohio State Highway Patrol,ohio state highway patrol,oh,South Portland ME PD
Clover SC PD,clover sc,sc,South Portland ME PD
West Virginia Fusion Center (WV),west virginia fusion center wv,va,South Portland ME PD
Powell OH PD,powell oh,oh,South Portland ME PD
Tulsa County OK SO,tulsa county ok,ok,South Portland ME PD
Flora- IL - PD,flora il,il,South Portland ME PD
Webster MA PD,webster ma,ma,South Portland ME PD
Crowley TX PD,crowley tx,tx,South Portland ME PD
Hinckley IL PD,hinckley il,il,South Portland ME PD
Harlan County NE SO,harlan county ne,ne,South Portland ME PD
Wright Township PD (Luzerne County) PA PD,wright township pd luzerne county pa,pa,South Portland ME PD
Ipswich MA PD,ipswich ma,ma,South Portland ME PD
Hartford CT PD,hartford ct,ct,South Portland ME PD
Clarkstown NY PD,clarkstown ny,ny,South Portland ME PD
Middletown NY PD,middletown ny,ny,South Portland ME PD
Sharon MA PD,sharon ma,ma,South Portland ME PD
Bernards Twp NJ PD,bernards twp nj,nj,South Portland ME PD
Ludlow MA PD,ludlow ma,ma,South Portland ME PD
Cheshire CT PD,cheshire ct,ct,South Portland ME PD
New York State Police NY,new york state,ny,South Portland ME PD
Chincoteague VA PD,chincoteague va,va,South Portland ME PD
Mantua Township NJ PD,mantua township nj,nj,South Portland ME PD
Hillsborough Twp  NJ PD,hillsborough twp nj,nj,South Portland ME PD
Lancaster NY PD,lancaster ny,ny,South Portland ME PD
Ayer MA PD,ayer ma,ma,South Portland ME PD
Mohawk Village NY PD,mohawk village ny,ny,South Portland ME PD
Herndon VA PD,herndon va,va,South Portland ME PD
Metropolis IL PD,metropolis il,il,South Portland ME PD
New Albany OH PD,new albany oh,oh,South Portland ME PD
Summit County Sheriff's Office (CO),summit county sheriffs office co,co,South Portland ME PD
Greene County OH SO,greene county oh,oh,South Portland ME PD
Waxhaw NC PD,waxhaw nc,nc,South Portland ME PD
Mississippi Department of Public Safety,mississippi department of public safety,ms,South Portland ME PD
Branson MO PD,branson mo,mo,South Portland ME PD
Jackson WI PD,jackson wi,wi,South Portland ME PD
Columbia County WI SO,columbia county wi,wi,South Portland ME PD
North Carolina State Bureau of Investigation (NCSBI),north carolina state bureau of investigation ncsbi,nc,South Portland ME PD
Muncie IN PD,muncie in,in,South Portland ME PD
Hampden County MA SO,hampden county ma,ma,South Portland ME PD
Clinton Township NJ PD,clinton township nj,nj,South Portland ME PD
Rensselaer County NY SO,rensselaer county ny,ny,South Portland ME PD
Henry County AL SO,henry county al,al,South Portland ME PD
IA - Storm Lake PD,ia storm lake,ia,South Portland ME PD
Regional Vehicle Burglary Suppression Taskforce TX,regional vehicle burglary suppression taskforce,tx,South Portland ME PD
Dickenson County VA SO,dickenson county va,va,South Portland ME PD
Douglas County NV SO,douglas county nv,nv,South Portland ME PD
Muhlenberg Township PA PD,muhlenberg township pa,pa,South Portland ME PD
Lee County IL SO,lee county il,il,South Portland ME PD
Decatur IN PD,decatur in,in,South Portland ME PD
Pottawatomie County KS SO,pottawatomie county ks,ks,South Portland ME PD
Milton GA PD,milton ga,ga,South Portland ME PD
TX - Vidor PD,tx vidor,tx,South Portland ME PD
Grand Haven MI DPS,grand haven mi dps,mi,South Portland ME PD
VA - George Mason University Campus PD,va george mason university,va,South Portland ME PD
Mansfield TX PD,mansfield tx,tx,South Portland ME PD
Westport MA PD,westport ma,ma,South Portland ME PD
Lowell MA PD,lowell ma,ma,South Portland ME PD
Somerset County NJ Prosecutors Office,somerset county nj prosecutors,nj,South Portland ME PD
Blair County PA SO,blair county pa,pa,South Portland ME PD
Metuchen NJ PD,metuchen nj,nj,South Portland ME PD
Salisbury MD PD,salisbury md,md,South Portland ME PD
Aston PA PD,aston pa,pa,South Portland ME PD
Wilton CT PD,wilton ct,ct,South Portland ME PD
Cumberland County PA DA,cumberland county pa,pa,South Portland ME PD
Nassau County NY PD,nassau county ny,ny,South Portland ME PD
Loris SC PD,loris sc,sc,South Portland ME PD
St. John Parish LA SO,st john parish la,la,South Portland ME PD
Floyd County GA PD,floyd county ga,ga,South Portland ME PD
Riverside County CA District Attorney,riverside county ca district attorney,ca,South Portland ME PD
Rowan University NJ PD,rowan university nj,nj,South Portland ME PD
Manchester NH PD,manchester nh,nh,South Portland ME PD
Springfield College Campus PD MA,springfield college campus,ma,South Portland ME PD
Hilltown Township PA PD,hilltown township pa,pa,South Portland ME PD
Rochester MA PD,rochester ma,ma,South Portland ME PD
East Windsor CT PD,east windsor ct,ct,South Portland ME PD
Burrillville RI PD,burrillville ri,ri,South Portland ME PD
Whitehall Township PA PD,whitehall township pa,pa,South Portland ME PD
Pelham NH PD,pelham nh,nh,South Portland ME PD
Penn State University Police and Public Safety PA,penn state university police and public safety,pa,South Portland ME PD
Dover DE PD,dover de,de,South Portland ME PD
Franklin IN PD,franklin in,in,South Portland ME PD
Warrick County IN SO,warrick county in,in,South Portland ME PD
Hancock County IN SO,hancock county in,in,South Portland ME PD
Franklin NJ PD (Somerset),franklin nj pd somerset,nj,South Portland ME PD
Bradford County Detectives PA,bradford county detectives,pa,South Portland ME PD
Hancock MD PD,hancock md,md,South Portland ME PD
Central Falls RI PD,central falls ri,ri,South Portland ME PD
Warwick Town NY PD,warwick town ny,ny,South Portland ME PD
Brunswick County NC SO,brunswick county nc,nc,South Portland ME PD
Dublin OH PD,dublin oh,oh,South Portland ME PD
Tampa FL PD,tampa fl,fl,South Portland ME PD
Helena AL PD,helena al,al,South Portland ME PD
Cobb County GA PD,cobb county ga,ga,South Portland ME PD
Holland TX PD,holland tx,tx,South Portland ME PD
Richmond VA PD,richmond va,va,South Portland ME PD
Putnam County GA SO,putnam county ga,ga,South Portland ME PD
Garner NC PD,garner nc,nc,South Portland ME PD
Pembroke MA PD,pembroke ma,ma,South Portland ME PD
Avon CT PD,avon ct,ct,South Portland ME PD
West Deptford NJ PD,west deptford nj,nj,South Portland ME PD
Little Rock AR PD,little rock ar,ar,South Portland ME PD
Taylor MI PD,taylor mi,mi,South Portland ME PD
Seguin TX PD,seguin tx,tx,South Portland ME PD
Ouachita Parish LA SO,ouachita parish la,la,South Portland ME PD
Lawrence District Attorney PA,lawrence district attorney,pa,South Portland ME PD
Cuyahoga Falls OH PD,cuyahoga falls oh,oh,South Portland ME PD
Lufkin TX PD,lufkin tx,tx,South Portland ME PD
Cheyenne WY PD,cheyenne wy,wy,South Portland ME PD
Vero Beach FL PD,vero beach fl,fl,South Portland ME PD
Pratt County KS SO,pratt county ks,ks,South Portland ME PD
Marion IN PD,marion in,in,South Portland ME PD
Benton County WA SO,benton county wa,wa,South Portland ME PD
Goodyear AZ PD,goodyear az,az,South Portland ME PD
Mohave County AZ SO,mohave county az,az,South Portland ME PD
Pottawattamie County IA SO,pottawattamie county ia,ia,South Portland ME PD
Westworth Village TX PD,westworth village tx,tx,South Portland ME PD
Marshall TX PD,marshall tx,tx,South Portland ME PD
Arnold MO PD,arnold mo,mo,South Portland ME PD
Schuyler Co. IL SO,schuyler co il,il,South Portland ME PD
Mill Creek WA PD,mill creek wa,wa,South Portland ME PD
St. Martin Parish LA SO,st martin parish la,la,South Portland ME PD
Tell City IN PD,tell city in,in,South Portland ME PD
Crowell TX PD,crowell tx,tx,South Portland ME PD
Ocean Springs MS PD,ocean springs ms,ms,South Portland ME PD
Purcell OK PD,purcell ok,ok,South Portland ME PD
Sarpy County NE SO,sarpy county ne,ne,South Portland ME PD
Whitley County IN Prosector,whitley county in prosector,in,South Portland ME PD
Buncombe County NC SO,buncombe county nc,nc,South Portland ME PD
Arlington PD (WA),arlington pd wa,wa,South Portland ME PD
Columbus County NC SO,columbus county nc,nc,South Portland ME PD
Junction City KS PD,junction city ks,ks,South Portland ME PD
Bulloch County GA SO,bulloch county ga,ga,South Portland ME PD
Connecticut State Police,connecticut state,ct,South Portland ME PD
Fairfax County VA PD,fairfax county va,va,South Portland ME PD
Everett MA PD,everett ma,ma,South Portland ME PD
Hackensack NJ PD,hackensack nj,nj,South Portland ME PD
Lawrence MA PD,lawrence ma,ma,South Portland ME PD
Ledyard CT PD,ledyard ct,ct,South Portland ME PD
