original_org_name,state,networks_im_sharing
Hartford CT PD,CT,South Portland ME PD
Clarkstown NY PD,NY,South Portland ME PD
Middletown NY PD,NY,South Portland ME PD
Sharon MA PD,MA,South Portland ME PD
Bernards Twp NJ PD,NJ,South Portland ME PD
Ludlow MA PD,MA,South Portland ME PD
Cheshire CT PD,CT,South Portland ME PD
New York State Police NY,NY,South Portland ME PD
Chincoteague VA PD,VA,South Portland ME PD
Mantua Township NJ PD,NJ,South Portland ME PD
Hillsborough Twp  NJ PD,NJ,South Portland ME PD
Lancaster NY PD,NY,South Portland ME PD
Ayer MA PD,MA,South Portland ME PD
Mohawk Village NY PD,NY,South Portland ME PD
Herndon VA PD,VA,South Portland ME PD
Metropolis IL PD,IL,South Portland ME PD
New Albany OH PD,OH,South Portland ME PD
Summit County Sheriff's Office (CO),CO,South Portland ME PD
Greene County OH SO,OH,South Portland ME PD
Waxhaw NC PD,NC,South Portland ME PD
Mississippi Department of Public Safety,,South Portland ME PD
Branson MO PD,MO,South Portland ME PD
Jackson WI PD,WI,South Portland ME PD
Columbia County WI SO,WI,South Portland ME PD
North Carolina State Bureau of Investigation (NCSBI),,South Portland ME PD
Muncie IN PD,IN,South Portland ME PD
Hampden County MA SO,MA,South Portland ME PD
Clinton Township NJ PD,NJ,South Portland ME PD
Rensselaer County NY SO,NY,South Portland ME PD
Henry County AL SO,AL,South Portland ME PD
IA - Storm Lake PD,IA,South Portland ME PD
Regional Vehicle Burglary Suppression Taskforce TX,TX,South Portland ME PD
Dickenson County VA SO,VA,South Portland ME PD
Douglas County NV SO,NV,South Portland ME PD
Muhlenberg Township PA PD,PA,South Portland ME PD
Lee County IL SO,IL,South Portland ME PD
Decatur IN PD,IN,South Portland ME PD
Pottawatomie County KS SO,KS,South Portland ME PD
Milton GA PD,GA,South Portland ME PD
TX - Vidor PD,TX,South Portland ME PD
Grand Haven MI DPS,MI,South Portland ME PD
VA - George Mason University Campus PD,VA,South Portland ME PD
Mansfield TX PD,TX,South Portland ME PD
Westport MA PD,MA,South Portland ME PD
Lowell MA PD,MA,South Portland ME PD
Somerset County NJ Prosecutors Office,NJ,South Portland ME PD
Blair County PA SO,PA,South Portland ME PD
Metuchen NJ PD,NJ,South Portland ME PD
Salisbury MD PD,MD,South Portland ME PD
Aston PA PD,PA,South Portland ME PD
Wilton CT PD,CT,South Portland ME PD
Cumberland County PA DA,PA,South Portland ME PD
Nassau County NY PD,NY,South Portland ME PD
Loris SC PD,SC,South Portland ME PD
St. John Parish LA SO,LA,South Portland ME PD
Floyd County GA PD,GA,South Portland ME PD
Riverside County CA District Attorney,CA,South Portland ME PD
Rowan University NJ PD,NJ,South Portland ME PD
Manchester NH PD,NH,South Portland ME PD
Springfield College Campus PD MA,MA,South Portland ME PD
Hilltown Township PA PD,PA,South Portland ME PD
Rochester MA PD,MA,South Portland ME PD
East Windsor CT PD,CT,South Portland ME PD
Burrillville RI PD,RI,South Portland ME PD
Whitehall Township PA PD,PA,South Portland ME PD
Pelham NH PD,NH,South Portland ME PD
Penn State University Police and Public Safety PA,PA,South Portland ME PD
Dover DE PD,DE,South Portland ME PD
Franklin IN PD,IN,South Portland ME PD
Warrick County IN SO,IN,South Portland ME PD
Hancock County IN SO,IN,South Portland ME PD
Franklin NJ PD (Somerset),NJ,South Portland ME PD
Bradford County Detectives PA,PA,South Portland ME PD
Hancock MD PD,MD,South Portland ME PD
Central Falls RI PD,RI,South Portland ME PD
Warwick Town NY PD,NY,South Portland ME PD
Brunswick County NC SO,NC,South Portland ME PD
Dublin OH PD,OH,South Portland ME PD
Tampa FL PD,FL,South Portland ME PD
Helena AL PD,AL,South Portland ME PD
Cobb County GA PD,GA,South Portland ME PD
Holland TX PD,TX,South Portland ME PD
Richmond VA PD,VA,South Portland ME PD
Putnam County GA SO,GA,South Portland ME PD
Garner NC PD,NC,South Portland ME PD
